,Tweet Count,Close,Volatility
4/1/2016,2496,105.33,9.05E-07
5/1/2016,2509,102.71,0.000618726
6/1/2016,3485,100.7,0.000382972
7/1/2016,3899,96.54,0.001706584
8/1/2016,3060,96.98,2.08E-05
11/1/2016,2476,98.53,0.000255446
12/1/2016,2452,99.96,0.000210637
13/1/2016,2332,97.41,0.000650771
14/1/2016,2066,99.51,0.000464763
15/1/2016,1027,97.081,0.000595829
19/1/2016,317,96.68,1.71E-05
20/1/2016,2201,96.81,1.81E-06
21/1/2016,1976,96.26,3.23E-05
22/1/2016,2792,101.42,0.002873477
25/1/2016,1719,99.466,0.000371195
26/1/2016,6084,99.98,2.67E-05
27/1/2016,6478,93.41,0.004318217
28/1/2016,3389,94.08,5.14E-05
29/1/2016,2499,97.14,0.001057909
1/2/2016,2297,96.38,6.12E-05
2/2/2016,875,94.48,0.000388627
3/2/2016,1800,96.34,0.000387566
4/2/2016,850,96.6,7.28E-06
5/2/2016,1447,94.01,0.000718862
8/2/2016,1878,95.01,0.000113149
9/2/2016,1790,95.02,1.11E-08
10/2/2016,1345,94.27,6.23E-05
11/2/2016,1343,93.66,4.19E-05
12/2/2016,1715,93.99,1.24E-05
16/2/2016,2357,96.62,0.000782976
17/2/2016,3322,98.11,0.000237815
18/2/2016,2986,96.26,0.000355563
19/2/2016,2959,96.03,5.71E-06
22/2/2016,2012,96.87,7.65E-05
23/2/2016,1255,94.69,0.000506447
24/2/2016,1847,96.1,0.000221733
25/2/2016,2410,96.75,4.57E-05
26/2/2016,2238,96.91,2.73E-06
29/2/2016,1727,96.6501,7.19E-06
1/3/2016,1052,100.53,0.001611523
2/3/2016,1513,100.73,3.96E-06
3/3/2016,1972,101.5,5.84E-05
4/3/2016,1964,103.01,0.000221321
7/3/2016,1754,101.87,0.000122476
8/3/2016,1400,101.04,6.64E-05
9/3/2016,736,101.1,3.53E-07
10/3/2016,1570,101.17,4.79E-07
11/3/2016,1539,102.25,0.000113958
14/3/2016,1399,102.52,6.97E-06
