,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google
,full,lemmas,stems,binary,count,count_sw,frequency,log_tfidf,log_tfidf_sw,tfidf,tfidf_sw,full,lemmas,stems,binary,count,count_sw,frequency,log_tfidf,log_tfidf_sw,tfidf,tfidf_sw
Baseline,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,3.956405516048716e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07,1.5483870599229186e-07
CV 20 MSE,4.720800534772039e-07,4.591026083402501e-07,4.839525379456926e-07,3.244827854793988e-07,3.529735907866924e-07,3.373069358675362e-07,5.010379318616315e-07,3.495697331709784e-07,3.4939486757784054e-07,4.6429981311074967e-07,4.364531028404286e-07,1.706462223532893e-07,1.6792014463888416e-07,1.7948082946461428e-07,1.3880683069189396e-07,2.0106724618143764e-07,1.899923694836588e-07,1.8977052952254196e-07,1.4167342236902793e-07,1.4231610579388764e-07,1.6709437873642648e-07,1.6297378464893706e-07
CV 20 std,3.063982854692241e-08,3.098478043975498e-08,4.074371861492862e-08,7.43058559331263e-09,4.110473795646913e-08,5.26221812481601e-08,2.1466326302817524e-08,7.802440879497779e-09,7.84042686603834e-09,3.618632347716323e-08,2.4057737618189287e-08,4.8741432313600975e-09,4.903558290920218e-09,3.912920971747197e-09,1.3746973766924608e-09,9.060080968251004e-09,9.313256792473726e-09,7.281420127579957e-09,1.5352320200788328e-09,1.6867351136418862e-09,5.127076404461734e-09,6.308432143520647e-09
CV 3 MSE,4.737933404476101e-07,4.7650712433406134e-07,4.981538796161945e-07,3.292655416629755e-07,4.1473931743947704e-07,4.0855072869498586e-07,5.437616618113167e-07,3.509164743018836e-07,3.5419216390206815e-07,4.798860932005309e-07,4.512719341880204e-07,1.6670556634126052e-07,1.6391754746714666e-07,1.7586589332359428e-07,1.4020954016450185e-07,2.0201586205473437e-07,2.0194723986493742e-07,1.8667444157219093e-07,1.4317139477195497e-07,1.4329609979146468e-07,1.647792343758584e-07,1.612915582986011e-07
CV 3 std,7.293498848679814e-08,7.722658429947843e-08,8.295645216182376e-08,2.119906292848352e-08,1.2038147413860704e-07,1.2385147697273398e-07,9.557814283733959e-08,2.8954319312267628e-08,2.8060885760565738e-08,8.333185385945985e-08,6.956567869608416e-08,1.3186797171370242e-08,1.3826618530788691e-08,1.1298510205797812e-08,3.865679071877145e-09,2.8510929829316463e-08,3.197587872213251e-08,2.2698025291081817e-08,5.197116326279232e-09,3.870921955779698e-09,1.3402709861040425e-08,1.5265919400207993e-08
CV 8 MSE,4.783811070090166e-07,4.656954871291348e-07,4.932832520153961e-07,3.245916451506958e-07,3.6816751424526085e-07,3.582722333080035e-07,5.042182630070283e-07,3.494021754073575e-07,3.5000981634859473e-07,4.756570163350021e-07,4.469390443608865e-07,1.7038762369327822e-07,1.6565197537571313e-07,1.7983110901910275e-07,1.3883641175730272e-07,2.0200335734868062e-07,1.9614810165486726e-07,1.8725332249498418e-07,1.4171550715083283e-07,1.4196444733222024e-07,1.6833056329141759e-07,1.6256146904818845e-07
CV 8 std,5.1436370277438485e-08,4.5137852616831206e-08,5.7359348969121725e-08,1.0258954145444078e-08,7.444610316668984e-08,8.215547471221531e-08,4.622387746825627e-08,1.4656181405382281e-08,1.4468298559055193e-08,6.42040958263869e-08,5.071907682611192e-08,7.906216130078123e-09,9.190139810395703e-09,7.0085150290245106e-09,2.438560512163935e-09,1.517422810290878e-08,2.1956341811271604e-08,1.2476716359746381e-08,3.041297842426637e-09,2.5993552040489285e-09,9.579807855875945e-09,9.4274824956419e-09
Cluster MSE,71.57370388284907,68.87010359018637,74.58902402370923,63.7040287398507,80.64931739174463,80.20537034527055,76.98616099460243,63.39867898575699,63.45196913892976,71.86851186071846,67.10275277436638,69.42470497266653,68.17208655710135,68.30774597504586,62.32068885645603,116.14914640808651,122.45709026532194,84.04790843709561,63.35543804286665,62.271622434052716,69.935875996595,72.15429804262739
Cluster std,28.427466351432237,33.7905823270602,22.514817904356036,14.807744928642668,27.417769641508162,23.17266733954596,29.62118720621205,19.21274232077466,22.298750876654754,23.782776159409675,24.20313655043758,27.32431367094047,28.77330360250101,27.831502253223835,13.876755500232084,25.791158456453108,25.920512835444924,34.239997867791764,15.239153893952569,15.605450628744407,28.18021868807077,34.99326797267136
Spike MSE,175.57942089008247,164.78273397063606,169.69743670474634,217.9051122657341,192.0462113096181,174.52560039842112,176.9015212042683,193.55129430430955,197.19859079657002,164.15103728839802,158.659102055174,202.5127303981167,195.9364454078806,206.6087819955393,225.44272963213353,244.90048625371335,236.83575941559172,252.61163625927315,209.69679538601204,210.34622829001574,200.62373027546403,205.44272032561514
Spike std,1.7397104976739421,1.949162761682986,2.798719942785654,0.39892174182623724,2.5380667391094973,2.970624128382071,3.2830929213975706,0.6454521782456927,0.4828999190604053,2.363704274287341,1.7090787196544115,2.441182527020136,2.07606366256677,2.3674286644351956,0.31658644226211025,11.713693528311591,15.867770416275107,3.206325989520241,0.4633491565400134,0.45373708703817756,2.9118990416920725,2.5425828936547448
